,0,1,2,3,4,5,6,7,8,9,10,11,12
122,123.0,8986.0,14687.0,30.91,1.0,0.0,1.0,1.0,17217.902,0.0,31.48,0.0,0.0
123,124.0,8681.0,14917.0,30.91,-1.0,6.0,6.083,0.1643925694558606,17259.103,0.0,30.21,0.0,-0.0
124,125.0,8037.0,15621.0,31.0,0.0,-1.0,1.0,1.0,17567.271,0.0,27.24,-0.0,0.0
125,126.0,7998.0,15129.0,31.0,-5.0,-4.0,6.403,0.15617679212868968,17112.996,0.0,27.88,-0.0,0.0
126,127.0,7742.0,15407.0,30.88,-1.0,1.0,1.414,0.7072135785007072,17242.802,0.0,26.69,0.0,0.0
127,128.0,7352.0,15359.0,30.97,7.0,1.0,7.071,0.14142271248762553,17027.941,0.0,25.59,0.0,0.0
128,129.0,6944.0,15530.0,31.0,4.0,-4.0,5.657,0.176772140710624,17011.762,0.0,24.1,0.0,-0.0
129,130.0,6693.0,15642.0,30.91,1.0,-1.0,1.414,0.7072135785007072,17013.771,0.0,23.18,-0.0,-0.0
130,131.0,6366.0,15707.0,31.0,-6.0,-2.0,6.325,0.15810276679841898,16948.032,0.0,22.07,-0.0,-0.0
131,132.0,6012.0,15795.0,30.97,-3.0,3.0,4.243,0.23568230025925052,16900.478,0.0,20.85,-0.0,0.0
132,133.0,5717.0,15918.0,30.97,-5.0,2.0,5.385,0.18570102135561747,16913.51,0.0,19.77,0.0,0.0
133,134.0,5389.0,15921.0,30.97,2.0,-3.0,3.606,0.27731558513588467,16808.318,0.0,18.71,0.0,-0.0
134,135.0,5012.0,16079.0,31.03,3.0,-3.0,4.243,0.23568230025925052,16842.042,0.0,17.32,0.0,-0.0
135,136.0,4690.0,16115.0,30.94,-6.0,11.0,12.53,0.07980845969672785,16783.603,0.001,16.23,-0.0,-0.0
136,137.0,4362.0,16117.0,31.03,-2.0,-2.0,2.828,0.3536067892503536,16696.848,0.0,15.15,-0.0,0.0
137,138.0,3998.0,16260.0,30.97,7.0,-7.0,9.899,0.10102030508132136,16744.301,0.001,13.82,0.0,0.0
138,139.0,3666.0,16250.0,31.0,-4.0,5.0,6.403,0.15617679212868968,16658.393,0.0,12.72,0.0,0.0
139,140.0,3356.0,16271.0,31.03,-2.0,0.0,2.0,0.5,16613.494,0.0,11.66,0.0,-0.0
140,141.0,2976.0,16345.0,30.97,-1.0,-8.0,8.062,0.12403870007442323,16613.717,0.0,10.32,-0.0,-0.0
141,142.0,2663.0,16314.0,30.97,0.0,2.0,2.0,0.5,16529.917,0.0,9.28,-0.0,0.0
142,143.0,1167.0,16651.0,31.03,0.0,2.0,2.0,0.5,16691.845,0.0,4.01,-0.0,-0.0
143,144.0,1973.0,16424.0,31.06,-3.0,-3.0,4.243,0.23568230025925052,16542.083,0.0,6.85,0.0,0.0
144,145.0,1656.0,16298.0,31.03,0.0,0.0,0.0,1.0,16381.915,0.0,5.8,0.0,-0.0
145,146.0,1337.0,16306.0,31.0,0.0,-3.0,3.0,0.3333333333333333,16360.721,0.0,4.69,-0.0,-0.0
146,147.0,954.0,16443.0,30.94,-2.0,-1.0,2.236,0.44722719141323786,16470.652,0.0,3.32,-0.0,-0.0
147,148.0,677.0,16241.0,30.94,-3.0,-1.0,3.162,0.3162555344718533,16255.104,0.0,2.39,-0.0,0.0
148,149.0,368.0,16213.0,31.03,-20.0,-10.0,22.361,0.044720719109163275,16217.176,0.001,1.3,0.0,0.0
149,150.0,152.0,16272.0,30.94,2.0,0.0,2.0,0.5,16272.71,0.0,0.54,0.0,0.0
150,151.0,-272.0,16117.0,31.03,-1.0,2.0,2.236,0.44722719141323786,16119.295,0.0,179.03,0.0,-0.0
151,152.0,-593.0,16096.0,31.06,8.0,-1.0,8.062,0.12403870007442323,16106.92,0.001,177.89,-0.0,-0.0
152,153.0,-975.0,16197.0,30.94,-5.0,-3.0,5.831,0.1714971702966901,16226.319,0.0,176.55,-0.0,0.0
153,154.0,-1200.0,15910.0,30.97,2.0,5.0,5.385,0.18570102135561747,15955.19,0.0,175.68,-0.0,0.0
154,155.0,-1527.0,15906.0,31.03,-1.0,-1.0,1.414,0.7072135785007072,15979.129,0.0,174.51,0.0,0.0
155,156.0,-1904.0,15978.0,31.06,-2.0,-2.0,2.828,0.3536067892503536,16091.044,0.0,173.2,0.0,-0.0
156,157.0,-2120.0,15649.0,31.06,-1.0,-4.0,4.123,0.24254183846713556,15791.947,0.0,172.28,0.0,-0.0
157,158.0,-2468.0,15665.0,31.06,-2.0,-1.0,2.236,0.44722719141323786,15858.223,0.0,171.04,-0.0,-0.0
158,159.0,-2773.0,15656.0,31.0,-6.0,-3.0,6.708,0.1490757304710793,15899.681,0.0,169.95,-0.0,0.0
159,160.0,-2897.0,15174.0,30.94,-1.0,6.0,6.083,0.1643925694558606,15448.071,0.0,169.19,-0.0,0.0
160,161.0,-3353.0,15366.0,31.09,-3.0,-2.0,3.606,0.27731558513588467,15727.573,0.0,167.68,0.0,0.0
161,162.0,-3616.0,15298.0,31.03,1.0,0.0,1.0,1.0,15719.55,0.0,166.69,0.0,-0.0
162,163.0,-3803.0,14978.0,31.12,-2.0,-1.0,2.236,0.44722719141323786,15453.262,0.0,165.75,-0.0,-0.0
163,164.0,-4178.0,15030.0,31.09,-1.0,1.0,1.414,0.7072135785007072,15599.891,0.0,164.46,-0.0,-0.0
164,165.0,-4418.0,14910.0,31.12,0.0,-3.0,3.0,0.3333333333333333,15550.782,0.0,163.49,-0.0,0.0
165,166.0,-4630.0,14610.0,31.06,-1.0,-4.0,4.123,0.24254183846713556,15326.089,0.0,162.41,0.0,0.0
166,167.0,-4963.0,14649.0,31.12,-4.0,-3.0,5.0,0.2,15466.886,0.0,161.27,0.0,0.0
167,168.0,-5188.0,14425.0,31.03,-1.0,-4.0,4.123,0.24254183846713556,15329.578,0.0,160.21,0.0,-0.0
168,169.0,-5472.0,14231.0,31.03,-4.0,6.0,7.211,0.13867702121758424,15246.775,0.0,158.96,-0.0,-0.0
169,170.0,-5731.0,14158.0,31.0,0.0,-1.0,1.0,1.0,15273.943,0.0,157.95,-0.0,0.0
170,171.0,-5974.0,13964.0,31.06,1.0,-4.0,4.123,0.24254183846713556,15188.218,0.0,156.83,-0.0,0.0
171,172.0,-6236.0,13791.0,31.06,0.0,-1.0,1.0,1.0,15135.368,0.0,155.66,0.0,0.0
172,173.0,-6493.0,13672.0,30.97,-2.0,-6.0,6.325,0.15810276679841898,15135.476,0.0,154.58,0.0,-0.0
173,174.0,-6704.0,13480.0,31.09,-1.0,2.0,2.236,0.44722719141323786,15055.033,0.0,153.54,0.0,-0.0
174,175.0,-7027.0,13266.0,31.0,-4.0,0.0,4.0,0.25,15012.178,0.0,152.08,-0.0,-0.0
175,176.0,-7244.0,13198.0,31.03,0.0,-6.0,6.0,0.16666666666666666,15055.323,0.0,151.22,-0.0,0.0
176,177.0,-7431.0,12937.0,31.09,0.0,-1.0,1.0,1.0,14919.307,0.0,150.11,0.0,0.0
177,178.0,-7750.0,12865.0,31.09,-1.0,0.0,1.0,1.0,15019.012,0.0,148.92,0.0,0.0
178,179.0,-7918.0,12608.0,31.09,4.0,-3.0,5.0,0.2,14888.129,0.0,147.85,0.0,-0.0
179,180.0,-8104.0,12365.0,31.16,-2.0,-1.0,2.236,0.44722719141323786,14784.047,0.0,146.74,-0.0,-0.0
180,181.0,-8402.0,12226.0,31.06,1.0,2.0,2.236,0.44722719141323786,14834.712,0.0,145.48,-0.0,-0.0
181,182.0,-8513.0,11969.0,31.12,-2.0,1.0,2.236,0.44722719141323786,14687.686,0.0,144.56,-0.0,0.0
182,183.0,-8721.0,11775.0,31.06,1.0,-1.0,1.414,0.7072135785007072,14652.865,0.0,143.46,0.0,0.0
183,184.0,-9082.0,11719.0,31.06,6.0,0.0,6.0,0.16666666666666666,14826.25,0.0,142.21,0.0,-0.0
184,185.0,-9058.0,11318.0,31.03,0.0,0.0,0.0,1.0,14496.361,0.0,141.31,0.0,-0.0
185,186.0,-9232.0,11119.0,31.03,4.0,-5.0,6.403,0.15617679212868968,14452.058,0.0,140.28,-0.0,-0.0
186,187.0,-9628.0,11065.0,31.06,-4.0,-5.0,6.403,0.15617679212868968,14667.4,0.0,138.95,-0.0,0.0
187,188.0,-9603.0,10738.0,31.06,0.0,-1.0,1.0,1.0,14405.633,0.0,138.17,-0.0,0.0
188,189.0,-9732.0,10464.0,31.09,2.0,-7.0,7.28,0.13736263736263735,14290.106,0.001,137.05,0.0,0.0
189,190.0,-10185.0,10448.0,31.06,0.0,2.0,2.0,0.5,14590.919,0.0,135.71,0.0,-0.0
190,191.0,-10043.0,10026.0,31.09,-5.0,-4.0,6.403,0.15617679212868968,14190.931,0.0,134.93,0.0,-0.0
191,192.0,-10166.0,9825.0,31.06,-3.0,7.0,7.616,0.13130252100840337,14137.828,0.001,134.0,-0.0,-0.0
192,193.0,-10497.0,9733.0,31.06,-1.0,-2.0,2.236,0.44722719141323786,14314.968,0.0,132.81,-0.0,0.0
193,194.0,-10426.0,9324.0,31.09,-1.0,0.0,1.0,1.0,13987.082,0.0,131.78,-0.0,0.0
194,195.0,-10462.0,9062.0,31.16,-3.0,0.0,3.0,0.3333333333333333,13841.0,0.0,130.87,0.0,0.0
195,196.0,-10856.0,9021.0,31.12,-1.0,-1.0,1.414,0.7072135785007072,14114.927,0.0,129.7,0.0,-0.0
196,197.0,-10729.0,8622.0,31.03,-2.0,-9.0,9.22,0.10845986984815617,13764.096,0.001,128.76,0.0,-0.0
197,198.0,-10884.0,8522.0,31.12,0.0,0.0,0.0,1.0,13823.384,0.0,128.03,-0.0,-0.0
198,199.0,-11061.0,8239.0,31.06,3.0,-4.0,5.0,0.2,13792.275,0.0,126.65,-0.0,-0.0
199,200.0,-10097.0,7932.0,31.09,26.0,-5.0,26.476,0.037770055899682735,12840.017,0.002,128.13,-0.0,-0.0
200,201.0,-11034.0,7698.0,31.12,-1.0,0.0,1.0,1.0,13453.935,0.0,124.87,0.0,0.0
201,202.0,-11248.0,7625.0,31.03,-3.0,3.0,4.243,0.23568230025925052,13588.897,0.0,124.1,0.0,0.0
202,203.0,-10986.0,7088.0,31.09,-1.0,-1.0,1.414,0.7072135785007072,13074.094,0.0,122.8,0.0,-0.0
203,204.0,-11199.0,6991.0,31.09,-3.0,-1.0,3.162,0.3162555344718533,13201.958,0.0,121.95,0.0,-0.0
204,205.0,-11287.0,6800.0,31.16,-1.0,0.0,1.0,1.0,13177.115,0.0,121.04,-0.0,-0.0
205,206.0,-11058.0,6357.0,31.09,-1.0,-2.0,2.236,0.44722719141323786,12755.031,0.0,119.86,-0.0,0.0
206,207.0,-11322.0,6286.0,31.06,-5.0,-7.0,8.602,0.11625203441060218,12949.961,0.001,119.01,-0.0,0.0
207,208.0,-11301.0,6059.0,31.19,4.0,-3.0,5.0,0.2,12822.795,0.0,118.17,0.0,0.0
208,209.0,-11174.0,5704.0,31.16,1.0,2.0,2.236,0.44722719141323786,12545.672,0.0,117.01,0.0,-0.0
209,210.0,-11221.0,5703.0,31.16,0.0,-3.0,3.0,0.3333333333333333,12587.099,0.0,116.91,0.0,-0.0
210,211.0,-11143.0,5284.0,31.09,-1.0,0.0,1.0,1.0,12332.36,0.0,115.34,-0.0,-0.0
211,212.0,-11178.0,5093.0,31.12,0.0,-2.0,2.0,0.5,12283.58,0.0,114.46,-0.0,-0.0
212,213.0,-11289.0,4929.0,31.16,0.0,1.0,1.0,1.0,12318.14,0.0,113.55,-0.0,0.0
